"candidate_id","공식자료유형","공식표기","표기모델","관리유형","대표증상","공식경로","개별식별자","확인방법","확인일","MVP적용판정","사용제한"
"SUP-001","공식 고객지원 검색결과","WPUIAC506 검색결과 11건: FAQ 1, 동영상 7, 이미지 1, 사용설명서 2","WPUIAC506","공통","모델 적용성","https://www.skintellixservice.com/web/easy/easyMain.do?tabIndex=3#Back","검색어: WPUIAC506","공식 화면에서 모델명을 수동 검색하고 탭별 건수 확인","2026-07-20","적합-모델 존재 확인","검색결과에 노출된 개별 콘텐츠만 모델 연결 근거로 사용"
"SUP-002","제품 사용설명서","WPUIAC506SNW MEGA ICE 얼음정수기","WPUIAC506SNW","공통","매뉴얼","https://www.skintellixservice.com/web/easy/easyMain.do?tabIndex=3#Back","content_key=482d19e4dd1f47d8ab208c181832da11; file_id=113156; filename=(rev00) WPU-IAC506_User_KO_260409.pdf","공식 화면에서 WPUIAC506 검색 후 제품 사용설명서 탭과 다운로드 항목 확인","2026-07-20","적합-매뉴얼 직접 연결","영구 직접 PDF URL이 아니라 제품 선택형 공식 화면과 내부 식별자를 재현 근거로 사용"
"SUP-003","제품 사용설명서","WPUIAC506SNS MEGA ICE 얼음정수기","WPUIAC506SNS","공통","매뉴얼","https://www.skintellixservice.com/web/easy/easyMain.do?tabIndex=3#Back","content_key=482d19e4dd1f47d8ab208c181832da11; file_id=113156; filename=(rev00) WPU-IAC506_User_KO_260409.pdf","공식 화면에서 WPUIAC506 검색 후 제품 사용설명서 탭과 다운로드 항목 확인","2026-07-20","적합-매뉴얼 직접 연결","SNW와 SNS가 같은 REV.00 매뉴얼을 사용함"
"SUP-004","모델 연결 FAQ","[정수기] MEGA ICE 밝기 설정 방법","WPUIAC506 검색결과","공통","화면 밝기","https://www.skintellixservice.com/web/easy/easyMain.do?tabIndex=0","FAQ260617039422","공식 화면에서 WPUIAC506 검색 후 많이 하는 질문 탭의 유일한 결과와 콘텐츠 ID 확인","2026-07-20","적합-모델 검색 직접 연결","MVP 핵심 4개 증상에 해당하지 않아 모델 존재·연결 방식의 근거로만 사용"
"SUP-005","정수기 공통 FAQ","[정수기] 정수기 본체에서 물이 새요","정수기 공통","공통","누수","https://www.skintellixservice.com/web/easy/easyMain.do?tabIndex=0","FAQ210104033119","공식 화면에서 정수기 물이 새요를 수동 검색하고 결과 항목의 콘텐츠 ID 확인","2026-07-20","조건부-대표 증상 보조","WPU-IAC506 직접 연결 결과가 아니므로 매뉴얼 5·34·44쪽과 일치하는 범위에서만 보조 근거로 사용"
"SUP-006","정수기 공통 FAQ","[정수기] 물맛이 이상해요","정수기 공통","공통","물맛·냄새 이상","https://www.skintellixservice.com/web/easy/easyMain.do?tabIndex=0","FAQ210104033124","공식 화면에서 정수기 물맛 냄새를 수동 검색하고 결과 항목의 콘텐츠 ID 확인","2026-07-20","조건부-대표 증상 보조","WPU-IAC506 직접 연결 결과가 아니므로 매뉴얼 34·44쪽과 일치하는 범위에서만 보조 근거로 사용"
"SUP-007","정수기 공통 FAQ","[정수기] 정수기에서 물이 나오지 않아요","정수기 공통","공통","출수량 저하·무출수","https://www.skintellixservice.com/web/easy/easyMain.do?tabIndex=0","FAQ210104033097","공식 화면에서 정수기 물이 나오지 않아요를 수동 검색하고 결과 항목의 콘텐츠 ID 확인","2026-07-20","조건부-대표 증상 보조","기존 수집본의 냉·온수 취수량이 적어요와 동일 문서임을 뜻하지 않으며 매뉴얼 31·43쪽을 우선함"
"SUP-008","정수기 공통 FAQ","[정수기] 냉수가 차갑지 않아요","정수기 공통","공통","냉수 온도 이상","https://www.skintellixservice.com/web/easy/easyMain.do?tabIndex=0","FAQ210104033108","공식 화면에서 냉수가 시원하지 않아요를 수동 검색하고 현재 노출된 동의어 결과의 콘텐츠 ID 확인","2026-07-20","조건부-대표 증상 보조","WPU-IAC506 직접 연결 결과가 아니므로 매뉴얼 42쪽과 일치하는 범위에서만 보조 근거로 사용"
"SUP-009","공식 상품 페이지","MEGA ICE 얼음정수기 방문관리 뉴트럴 실버","WPUIAC506SNS","방문관리","모델·관리유형 식별","https://www.skmagic.com/goods/indexGoodsDetail?goodsId=G000069848","goodsId=G000069848","공식 SK매직몰 상품 상세 페이지의 모델명과 관리유형 확인","2026-07-20","적합-모델 계열 식별","FAQ 증상 적용 근거로 사용하지 않음"
"SUP-010","공식 상품 페이지","MEGA ICE 얼음정수기 셀프관리 뉴트럴 실버","WPUIAC506SNS","셀프관리","모델·관리유형 식별","https://www.skmagic.com/goods/indexGoodsDetail?goodsId=G000069849","goodsId=G000069849","공식 SK매직몰 상품 상세 페이지의 모델명과 관리유형 확인","2026-07-20","적합-모델 계열 식별","FAQ 증상 적용 근거로 사용하지 않음"
"SUP-011","공식 상품 페이지","MEGA ICE 얼음정수기 셀프관리 내추럴 화이트","WPUIAC506SNW","셀프관리","모델·관리유형 식별","https://www.skmagic.com/goods/indexGoodsDetail?goodsId=G000069847","goodsId=G000069847","공식 SK매직몰 상품 상세 페이지의 모델명과 관리유형 확인","2026-07-20","적합-모델 계열 식별","FAQ 증상 적용 근거로 사용하지 않음"
"SUP-012","공식 상품 페이지","MEGA ICE 얼음정수기 방문관리 내추럴 화이트","WPUIAC506SNW","방문관리","모델·관리유형 식별","https://www.skmagic.com/goods/indexGoodsDetail?goodsId=G000069846","goodsId=G000069846","공식 SK매직몰 상품 상세 페이지의 모델명과 관리유형 확인","2026-07-20","적합-모델 계열 식별","FAQ 증상 적용 근거로 사용하지 않음"
